date,site,PM10,PM25,month,year,days_per_month
2014-12-31T11:00:00Z,Ashburton,14.6,NA,1,2015,31
2015-01-01T11:00:00Z,Ashburton,14.2,NA,1,2015,31
2015-01-02T11:00:00Z,Ashburton,15.4,NA,1,2015,31
2015-01-03T11:00:00Z,Ashburton,15.8,NA,1,2015,31
2015-01-04T11:00:00Z,Ashburton,15,NA,1,2015,31
2015-01-05T11:00:00Z,Ashburton,16.9,NA,1,2015,31
2015-01-06T11:00:00Z,Ashburton,21.7,NA,1,2015,31
2015-01-07T11:00:00Z,Ashburton,23.2,NA,1,2015,31
2015-01-08T11:00:00Z,Ashburton,23.5,NA,1,2015,31
2015-01-09T11:00:00Z,Ashburton,27.8,NA,1,2015,31
2015-01-10T11:00:00Z,Ashburton,21.3,NA,1,2015,31
2015-01-11T11:00:00Z,Ashburton,12.1,NA,1,2015,31
2015-01-12T11:00:00Z,Ashburton,13.5,NA,1,2015,31
2015-01-13T11:00:00Z,Ashburton,11.6,NA,1,2015,31
2015-01-14T11:00:00Z,Ashburton,14.6,NA,1,2015,31
2015-01-15T11:00:00Z,Ashburton,24.3,NA,1,2015,31
2015-01-16T11:00:00Z,Ashburton,22.7,NA,1,2015,31
2015-01-17T11:00:00Z,Ashburton,25.7,NA,1,2015,31
2015-01-18T11:00:00Z,Ashburton,19.3,NA,1,2015,31
2015-01-19T11:00:00Z,Ashburton,10.8,NA,1,2015,31
2015-01-20T11:00:00Z,Ashburton,10,NA,1,2015,31
2015-01-21T11:00:00Z,Ashburton,14.3,NA,1,2015,31
2015-01-22T11:00:00Z,Ashburton,19,NA,1,2015,31
2015-01-23T11:00:00Z,Ashburton,21.2,NA,1,2015,31
2015-01-24T11:00:00Z,Ashburton,22.9,NA,1,2015,31
2015-01-25T11:00:00Z,Ashburton,31.8,NA,1,2015,31
2015-01-26T11:00:00Z,Ashburton,25.1,NA,1,2015,31
2015-01-27T11:00:00Z,Ashburton,20.6,NA,1,2015,31
2015-01-28T11:00:00Z,Ashburton,11.3,NA,1,2015,31
2015-01-29T11:00:00Z,Ashburton,8.5,NA,1,2015,31
2015-01-30T11:00:00Z,Ashburton,11.8,NA,1,2015,31
2015-01-31T11:00:00Z,Ashburton,11.7,NA,2,2015,28
2015-02-01T11:00:00Z,Ashburton,12,NA,2,2015,28
2015-02-02T11:00:00Z,Ashburton,17.2,NA,2,2015,28
2015-02-03T11:00:00Z,Ashburton,NA,NA,2,2015,28
2015-02-04T11:00:00Z,Ashburton,NA,NA,2,2015,28
2015-02-05T11:00:00Z,Ashburton,12,NA,2,2015,28
2015-02-06T11:00:00Z,Ashburton,18.6,NA,2,2015,28
2015-02-07T11:00:00Z,Ashburton,22.8,NA,2,2015,28
2015-02-08T11:00:00Z,Ashburton,21.3,NA,2,2015,28
2015-02-09T11:00:00Z,Ashburton,15.4,NA,2,2015,28
2015-02-10T11:00:00Z,Ashburton,21.8,NA,2,2015,28
2015-02-11T11:00:00Z,Ashburton,26.4,NA,2,2015,28
2015-02-12T11:00:00Z,Ashburton,21.2,NA,2,2015,28
2015-02-13T11:00:00Z,Ashburton,21.1,NA,2,2015,28
2015-02-14T11:00:00Z,Ashburton,11.8,NA,2,2015,28
2015-02-15T11:00:00Z,Ashburton,15.8,NA,2,2015,28
2015-02-16T11:00:00Z,Ashburton,22,NA,2,2015,28
2015-02-17T11:00:00Z,Ashburton,35.2,NA,2,2015,28
2015-02-18T11:00:00Z,Ashburton,21.7,NA,2,2015,28
2015-02-19T11:00:00Z,Ashburton,19.1,NA,2,2015,28
2015-02-20T11:00:00Z,Ashburton,17.2,NA,2,2015,28
2015-02-21T11:00:00Z,Ashburton,11,NA,2,2015,28
