"Date","Category"
2022-01-01,"Standard Holiday"
2022-01-02,"Standard Holiday"
2022-01-03,"Observed Holiday"
2022-01-04,"Observed Holiday"
2022-02-06,"Standard Holiday"
2022-02-07,"Observed Holiday"
2022-04-15,"Standard Holiday"
2022-04-18,"Standard Holiday"
2022-04-25,"Standard Holiday"
2022-06-06,"Standard Holiday"
2022-06-24,"Standard Holiday"
2022-09-26,"Canterbury Anniversary"
2022-10-24,"Standard Holiday"
2022-11-11,"Canterbury Anniversary"
2022-12-25,"Standard Holiday"
2022-12-26,"Standard Holiday"
2022-12-27,"Observed Holiday"
2026-01-01,"Standard Holiday"
2026-01-02,"Standard Holiday"
2026-02-06,"Standard Holiday"
2026-04-03,"Standard Holiday"
2026-04-06,"Standard Holiday"
2026-04-25,"Standard Holiday"
2026-04-27,"Observed Holiday"
2026-06-01,"Standard Holiday"
2026-07-10,"Standard Holiday"
2026-09-28,"Canterbury Anniversary"
2026-10-26,"Standard Holiday"
2026-11-13,"Canterbury Anniversary"
2026-12-25,"Standard Holiday"
2026-12-26,"Standard Holiday"
2026-12-28,"Observed Holiday"
